Surname,Religion,Caste,Comment / Explanation,First names,Religion,,Cities,Source
Sharma,Hindu,Brahmin,Protestant Christians retain  Hindu name- either the first name or the last name.,Joseph,Christian,,Mumbai,https://en.wikipedia.org/wiki/List_of_metropolitan_areas_in_India
Srivastava,Hindu,Kayastha,Example Joseph Pradeep. Joseph the Christian name and Pradeep the Hindu name,John,Christian,,Kolkata,
Singh,Hindu/Sikh,Kshariya,,Samual,Christian,,Chennai,
Mishra,Hindu,Brahmin,Catholic Christians have both Christian names. Example Joseph D'Cruz,Martin,Christian,,Bangalore,
Pandey,Hindu,Brahmin,,George,Christian,,Hyderabad,
Khatri,Hindu,Kshatriya,Buddhist and Jain have Hindu names,Reena,Christian/ Muslim/ Hindu/,,Ahmedabad,
Reddy,Hindu,Forward,,Tina,Christian/ Muslim/ Hindu,,Pune,
Agarwal,Hindu,Bania,Sikh names are not specific to genders,Daisy,Christian,,Visakhapatnam,
Ahuja,Hindu,Arora-Khatri,,Abraham,Christian/ Muslim/ ,,Andhra Pradesh Capital Region,
Banerjee,Hindu,Brahmin,Most Parsi names have Muslim names,Sonia,Christian/Hindu,,Surat,
Bhatt,Hindu,Brahmin,,Nina,Christian/Hindu,,Jaipur,
Mandal,Hindu,SC,Most surname of Parsis will have their family profession attached to it. ,Shweta,Christian/Hindu,,Coimbatore,
Chowdhury,Hindu,SC,Example: One who sells bottles will be Bottlewala. 'Wala' meaning person,Ali,Muslim,,Kanpur,
Mathur,Hindu,Kayastha,,Mohammad,Muslim,,Nagpur,
Chawla,Hindu,Arora Kshatriya,"Many Muslim, Parsi, Hindu and Christain names have overlapped ",Salman,Muslim,,Raipur,
Apte,Hindu,Brahmin,,Ameer/ Amir,Muslim/ Hindu,,Kochi,
Jha,Hindu,Brahmin,Liberal people use names that do not have a specific identity to a particular religion/s,Sameer ,Muslim/ Hindu,,Kozhikode,
Joshi,Hindu,Brahmin,,Akbar,Muslim,,Nāsik,
Garg,Hindu,Brahmin,,,Buddhist and Jain have Hindu names,,Salem,
Dhar,Hindu,Brahmin,,Cyrus,Parsi,,Thiruvananthapuram,
Gupta,Hindu,Vaishya Baniya,,Farzan,Parsi/ Muslim,,Madurai,
Madan,Hindu,Brahmins/Aroras,,Azman,Parsi/ Muslim,,Jodhpur,
Dhillon,Sikh/Muslim,Jat (SC),,Adel,Parsi/ Muslim,,Chandigarh,
Mallik,Muslim,Jat/Muslim/Sikh,,Jahanshah,Parsi/ Muslim,,Mysore,
Mahajan,Hindu,Brahmin,,Jehangir,Parsi/ Muslim,,Udaipur,
Biswas,Hindu,SC/Kayastha/Brahmin/Mahishyas,,Zubin,Parsi/ Muslim,,Puducherry,
Mehta,Hindu,Brahmin/Rajput/Bania,,Porus,Parsi,,Solan,
Zacharia,Christian,-,,Arzoo,Parsi/ Muslim,,Shimla,
Ray,Hindu,Kayastha,,Dinaz,Parsi/ Muslim,,Srīnagar,
Purohit,Hindu,Brahmin,,Meher,Parsi/ Muslim/ Hindu,,Jammu,
Thakur,Hindu,Kshatriya(Rajput),,Tanaz,Parsi/ Muslim,,Bhopāl,
Seth,Hindu,Bania,,Gurupreet,Sikh,,Ghāziābād,
Modi,Hindu,OBC,,Amanpreet,Sikh,,Lucknow,
Pathak,Hindu,Brahmin,,Gurunoor,Sikh,,Mangalore,
Tripathi,Hindu,Brahmin,,Harpreet,Sikh,,Goa,
Das,Hindu,Brahmin/Kayastha,,Noor,Sikh,,Nellore,
Choudhary,Hindu,SC( Jat),,Preet,Sikh,,Palampur,
Bharti,Hindu,SC,,Tavleen,Sikh,,Bellary,
Duggal,Hindu,SC,,Jasleen,Sikh,,Allahābād,
Khan,Muslim,Pathan,,,Sikh names are not specific to genders,,,
Ali,Muslim,Shia,,,,,,
Abbas,Muslim,Sunni,,,,,,
Alvares,Christian,-,,,,,,
D'Cruz,Christian,-,,,,,,
D'Souza,Christian,-,,,,,,
Fernandez,Christian,-,,,,,,
Gonsalves,Christian,-,,,,,,
Daaruwala,Parsi,-,,,,,,
Gheewala,Parsi,-,,,,,,
Batliwala,Parsi,-,,,,,,
Bharucha,Parsi,,,,,,,
Bulsara,Parsi,,,,,,,
Cawas,Parsi,,,,,,,
Contractor,Parsi,,,,,,,
Daruwala,Parsi,,,,,,,
Engineer,Parsi,,,,,,,
Madraswala,Parsi,,,,,,,
Sethna,Parsi,,,,,,,
Shroff,Parsi,,,,,,,
Wadia,Parsi,,,,,,,
Baltiwala,Parsi,,,,,,,
Akhrotwala,Parsi,,,,,,,
Daruwala,Parsi,,,,,,,
Batatawala,Parsi,,,,,,,
Gheewala,Parsi,,,,,,,
Screwwala,Parsi,,,,,,,
Kajuwala,Parsi,,,,,,,
Taraporevala,Parsi,,,,,,,
Buddha,Buddhist,,,,,,,
Priyadarshini,Buddhist,,,,,,,
Sanghavi,Buddhist,,,,,,,
Maurya,Buddhist,,,,,,,
Vishvash,Buddhist,,,,,,,
Shakya,Buddhist,,,,,,,
Tathagat,Buddhist,,,,,,,
Dharmapala,Buddhist,,,,,,,
Dharmawardane,Buddhist,,,,,,,
Dharmaratne,Buddhist,,,,,,,
Ariyaratne,Buddhist,,,,,,,
Buddhadasa,Buddhist,,,,,,,
Gill,Sikh,,,,,,,
Deol,Sikh,,,,,,,
Bal,Sikh,,,,,,,
Brar,Sikh,,,,,,,
Ghai,Sikh,,,,,,,
Gala,Sikh,,,,,,,
Bedi,Sikh,,,,,,,
Lal,Sikh,,,,,,,
Kapoor,Sikh,,,,,,,
Kapur,Sikh,,,,,,,
Khanna,Sikh,,,,,,,
Kohli,Sikh,,,,,,,
Walia,Sikh,,,,,,,